기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,37,6.5,1056.3,199.4,96.3,85,92.7
2016,39.4,5.6,1124.7,240.5,97.5,83.3,92.5
2017,43.1,6.1,1177.2,229.5,97.7,84.8,93.6
2018,48.9,7.3,1146.8,203.6,89.4,84.8,86
2019,57.4,5.4,945.3,202.1,92.5,84.2,92.4
2020,100,33,3243.8,95.7,100,,92.4
2021,48.1,30.5,4843.9,179.9,92.6,92.6,96.3
2022,66.9,8.0,1892.2,285.1,99.0,98.1,99.4
2023,61,7.5,1518.7,251.6,97.2,88.9,95.1
2024,79.7, 6.3 ,1580.0,314.6,99.0,96.4,98.4
