기준연도,구분,,값(%)
2022,전 생애 한국여행 경험,전 생애 한국여행 경험,30.5%
2023,전 생애 한국여행 경험,전 생애 한국여행 경험,32.8%
2024,전 생애 한국여행 경험,전 생애 한국여행 경험,28.6%
2022,해외여행 목적지로서 한국 인지도(긍정 응답 비율),해외여행 목적지로서 한국 인지도<br>(긍정 응답 비율),75.9%
2023,해외여행 목적지로서 한국 인지도(긍정 응답 비율),해외여행 목적지로서 한국 인지도<br>(긍정 응답 비율),75.3%
2024,해외여행 목적지로서 한국 인지도(긍정 응답 비율),해외여행 목적지로서 한국 인지도<br>(긍정 응답 비율),81.2%
2022,해외여행 목적지로서 한국 선호도(긍정 응답 비율),해외여행 목적지로서 한국 선호도<br>(긍정 응답 비율),79.2%
2023,해외여행 목적지로서 한국 선호도(긍정 응답 비율),해외여행 목적지로서 한국 선호도<br>(긍정 응답 비율),77.8%
2024,해외여행 목적지로서 한국 선호도(긍정 응답 비율),해외여행 목적지로서 한국 선호도<br>(긍정 응답 비율),76.0%
2022,향후 3년 내 한국 방문 의향(긍정 응답 비율_ 해외여행 의향자 기준),향후 3년 내 한국 방문 의향<br>(긍정 응답 비율_ 해외여행 의향자 기준),66.0%
2023,향후 3년 내 한국 방문 의향(긍정 응답 비율_ 해외여행 의향자 기준),향후 3년 내 한국 방문 의향<br>(긍정 응답 비율_ 해외여행 의향자 기준),73.0%
2024,향후 3년 내 한국 방문 의향(긍정 응답 비율_ 해외여행 의향자 기준),향후 3년 내 한국 방문 의향<br>(긍정 응답 비율_ 해외여행 의향자 기준),67.0%
