순위,기준연도,연상이미지(%),기준국가명
1,2017,K-POP(18.3),태국
1,2018,K-POP(22.6),태국
1,2019,K-POP(24.0),태국
1,2020,K-POP(21.8),태국
1,2021,K-POP(21.8),태국
1,2022,K-POP(21.3),태국
2,2017,한류스타(11.8),태국
2,2018,한류스타(9.0),태국
2,2019,한국 음식(10.8),태국
2,2020,한국 음식(13.2),태국
2,2021,한국 음식(12.0),태국
2,2022,한국 음식(16.0),태국
3,2017,한국 뷰티(10.0),태국
3,2018,한국 뷰티서비스(8.8),태국
3,2019,한국 드라마(10.6),태국
3,2020,한국 드라마=한류 스타(9.0),태국
3,2021,한류 스타(9.4),태국
3,2022,한국 드라마(9.6),태국
4,2017,한국 드라마(8.8),태국
4,2018,한국 음식=한국 드라마(8.4),태국
4,2019,한류 스타(8.6),태국
4,2020,한국 뷰티서비스(7.8),태국
4,2021,한국 영화(7.6),태국
4,2022,한류 스타(9.3),태국
5,2017,한국 음식(7.3),태국
5,2018,한국 뷰티 제품(5.6),태국
5,2019,한국 뷰티서비스(8.0),태국
5,2020,한국 패션(5.2),태국
5,2021,한국 드라마(6.2),태국
5,2022,한국 영화(5.4),태국
