구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,39.5,태국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,50.8,태국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,55.8,태국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,39.6,태국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,54.2,태국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,51.9,태국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,44,태국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,54.2,태국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,59.6,태국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,44.6,태국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,58,태국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,56.3,태국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,52.3,태국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,54.4,태국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,63.8,태국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,49.6,태국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,62.2,태국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,58.9,태국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,55.5,태국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,56.6,태국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,65,태국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,52.2,태국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,60.8,태국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,58.6,태국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,48.3,태국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,53.4,태국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,55.6,태국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,42.4,태국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,56.8,태국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,52,태국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,48,태국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,57,태국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,58.8,태국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,43.6,태국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,56,태국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,53.7,태국
