기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,1392.0,467.83,원/터키리라,45.77,달러/배럴
201502,1439.0,445.96,원/터키리라,55.69,달러/배럴
201503,2109.0,427.08,원/터키리라,54.69,달러/배럴
201504,2242.0,402.98,원/터키리라,57.72,달러/배럴
201505,2269.0,419.41,원/터키리라,63.02,달러/배럴
201506,1642.0,416.76,원/터키리라,60.84,달러/배럴
201507,1783.0,432.25,원/터키리라,55.61,달러/배럴
201508,2262.0,412.53,원/터키리라,47.76,달러/배럴
201509,2265.0,396.65,원/터키리라,45.77,달러/배럴
201510,2215.0,389.5,원/터키리라,45.82,달러/배럴
201511,2070.0,400.28,원/터키리라,41.61,달러/배럴
201512,1478.0,401.47,원/터키리라,34.92,달러/배럴
201601,1602.0,406.61,원/터키리라,26.86,달러/배럴
201602,1639.0,419.5,원/터키리라,28.87,달러/배럴
201603,2098.0,406.86,원/터키리라,35.24,달러/배럴
201604,2614.0,406.47,원/터키리라,38.99,달러/배럴
201605,2570.0,405.09,원/터키리라,44.26,달러/배럴
201606,2377.0,402.93,원/터키리라,46.3,달러/배럴
201607,2782.0,379.21,원/터키리라,42.53,달러/배럴
201608,2245.0,377.67,원/터키리라,43.64,달러/배럴
201609,2602.0,369.95,원/터키리라,43.33,달러/배럴
201610,2378.0,372.43,원/터키리라,48.97,달러/배럴
201611,1946.0,356.3,원/터키리라,43.9,달러/배럴
201612,1688.0,345.4,원/터키리라,52.08,달러/배럴
201701,1749.0,310.96,원/터키리라,53.71,달러/배럴
201702,1703.0,313.77,원/터키리라,54.39,달러/배럴
201703,2138.0,305.45,원/터키리라,51.2,달러/배럴
201704,2250.0,317.08,원/터키리라,52.3,달러/배럴
201705,2125.0,316.23,원/터키리라,50.72,달러/배럴
201706,2265.0,323.73,원/터키리라,46.47,달러/배럴
201707,2418.0,316.79,원/터키리라,47.57,달러/배럴
201708,2889.0,325.11,원/터키리라,50.22,달러/배럴
201709,2636.0,330.34,원/터키리라,53.66,달러/배럴
201710,2484.0,303.6,원/터키리라,55.54,달러/배럴
201711,2391.0,278.59,원/터키리라,60.82,달러/배럴
201712,2224.0,283.56,원/터키리라,61.61,달러/배럴
201801,1934.0,283.75,원/터키리라,66.2,달러/배럴
201802,1896.0,282.89,원/터키리라,62.72,달러/배럴
201803,2464.0,274.03,원/터키리라,62.74,달러/배럴
201804,3329.0,265.68,원/터키리라,68.27,달러/배럴
201805,2551.0,244.22,원/터키리라,74.41,달러/배럴
201806,2499.0,244.28,원/터키리라,73.61,달러/배럴
201807,2683.0,234.32,원/터키리라,73.12,달러/배럴
201808,3197.0,189.31,원/터키리라,72.49,달러/배럴
201809,2346.0,185.19,원/터키리라,77.23,달러/배럴
201810,2593.0,208.24,원/터키리라,79.39,달러/배럴
201811,2158.0,216.84,원/터키리라,65.56,달러/배럴
201812,1908.0,210.87,원/터키리라,57.32,달러/배럴
201901,1785.0,213.27,원/터키리라,59.09,달러/배럴
201902,1765.0,211.62,원/터키리라,64.59,달러/배럴
201903,2532.0,208.37,원/터키리라,66.94,달러/배럴
201904,2826.0,201.36,원/터키리라,70.94,달러/배럴
201905,2492.0,201.87,원/터키리라,69.38,달러/배럴
201906,2835.0,200.4,원/터키리라,61.78,달러/배럴
201907,2962.0,212.62,원/터키리라,63.28,달러/배럴
201908,3015.0,215.1,원/터키리라,59.13,달러/배럴
201909,2802.0,211.93,원/터키리라,61.13,달러/배럴
201910,2893.0,204.91,원/터키리라,59.39,달러/배럴
201911,2881.0,205.42,원/터키리라,61.99,달러/배럴
201912,2505.0,198.0,원/터키리라,64.91,달러/배럴
202001,2208.0,199.82,원/터키리라,64.32,달러/배럴
202002,1784.0,200.78,원/터키리라,54.23,달러/배럴
202003,242.0,193.07,원/터키리라,33.71,달러/배럴
202004,26.0,179.26,원/터키리라,20.39,달러/배럴
202005,26.0,181.8,원/터키리라,30.47,달러/배럴
202006,134.0,176.19,원/터키리라,40.8,달러/배럴
202007,271.0,173.38,원/터키리라,43.3,달러/배럴
202008,439.0,163.21,원/터키리라,44.0,달러/배럴
202009,381.0,155.98,원/터키리라,41.51,달러/배럴
202010,308.0,142.63,원/터키리라,40.67,달러/배럴
202011,356.0,140.78,원/터키리라,43.42,달러/배럴
202012,385.0,147.34,원/터키리라,49.84,달러/배럴
202101,323.0,151.74,원/터키리라,54.82,달러/배럴
202102,376.0,156.15,원/터키리라,60.89,달러/배럴
202103,477.0,147.12,원/터키리라,64.44,달러/배럴
202104,363.0,135.4,원/터키리라,62.92,달러/배럴
202105,396.0,133.12,원/터키리라,66.34,달러/배럴
202106,415.0,131.0,원/터키리라,71.6,달러/배럴
202107,481.0,135.62,원/터키리라,72.93,달러/배럴
202108,678.0,138.96,원/터키리라,69.5,달러/배럴
202109,397.0,138.99,원/터키리라,72.63,달러/배럴
202110,589.0,126.92,원/터키리라,81.61,달러/배럴
202111,413.0,93.09,원/터키리라,80.3,달러/배럴
202112,415.0,89.81,원/터키리라,73.21,달러/배럴
202201,498.0,88.86,원/터키리라,83.47,달러/배럴
202202,540.0,88.06,원/터키리라,92.36,달러/배럴
202203,574.0,82.86,원/터키리라,110.93,달러/배럴
202204,1392.0,86.36,원/터키리라,102.82,달러/배럴
202205,2020.0,79.86,원/터키리라,108.16,달러/배럴
202206,1594.0,77.81,원/터키리라,113.27,달러/배럴
202207,1582.0,74.91,원/터키리라,103.14,달러/배럴
202208,1938.0,74.8,원/터키리라,96.63,달러/배럴
202209,1737.0,78.35,원/터키리라,90.95,달러/배럴
202210,2151.0,76.37,원/터키리라,91.16,달러/배럴
202211,2138.0,71.59,원/터키리라,86.26,달러/배럴
202212,1887.0,67.94,원/터키리라,77.22,달러/배럴
202301,1685.0,65.44,원/튀르키예리라,80.42,달러/배럴
202302,1607.0,69.89,원/튀르키예리라,82.11,달러/배럴
202303,2177.0,68.59,원/튀르키예리라,78.51,달러/배럴
202304,3181.0,69.29,원/튀르키예리라,83.44,달러/배럴
202305,2582.0,66.96,원/튀르키예리라,74.96,달러/배럴
202306,2939.0,55.36,원/튀르키예리라,74.99,달러/배럴
202307,3012.0,48.4,원/튀르키예리라,80.45,달러/배럴
202308,2943.0,49.53,원/튀르키예리라,86.46,달러/배럴
202309,3199.0,49.92,원/튀르키예리라,93.25,달러/배럴
202310,3243.0,48.43,원/튀르키예리라,89.75,달러/배럴
202311,2868.0,45.0,원/튀르키예리라,83.55,달러/배럴
202312,2312.0,44.37,원/튀르키예리라,77.33,달러/배럴
202401,2186.0,44.24,원/튀르키예리라,78.85,달러/배럴
202402,2116.0,43.3,원/튀르키예리라,80.88,달러/배럴
202403,3289.0,41.97,원/튀르키예리라,84.18,달러/배럴
202404,6541.0,42.59,원/튀르키예리라,89.17,달러/배럴
202405,3862.0,42.69,원/튀르키예리라,84.04,달러/배럴
202406,4716.0,42.62,원/튀르키예리라,82.56,달러/배럴
202407,4248.0,42.08,원/튀르키예리라,83.83,달러/배럴
202408,4489.0,39.63,원/튀르키예리라,77.6,달러/배럴
202409,4147.0,38.73,원/튀르키예리라,73.52,달러/배럴
202410,4545.0,40.38,원/튀르키예리라,74.94,달러/배럴
202411,3321.0,40.49,원/튀르키예리라,72.61,달러/배럴
202412,2567.0,42.03,원/튀르키예리라,73.23,달러/배럴
202501,2461.0,40.38,원/튀르키예리라,80.41,달러/배럴
202502,2395.0,39.78,원/튀르키예리라,77.92,달러/배럴
202503,5440.0,39.48,원/튀르키예리라,72.49,달러/배럴
202504,7100.0,37.73,원/튀르키예리라,67.74,달러/배럴
202505,4920.0,35.54,원/튀르키예리라,63.73,달러/배럴
202506,5347.0,34.36,원/튀르키예리라,69.26,달러/배럴
202507,5982.0,34.37,원/튀르키예리라,70.87,달러/배럴
202508,6300.0,33.99,원/튀르키예리라,69.39,달러/배럴
202509,6022.0,33.92,원/튀르키예리라,70.01,달러/배럴
202510,6007.0,33.97,원/튀르키예리라,65.0,달러/배럴
202511,5803.0,34.63,원/튀르키예리라,64.47,달러/배럴
202512,2425.0,33.62,원/튀르키예리라,62.05,달러/배럴
