순위,기준연도,연상이미지(%),기준국가명
1,2017,한국 전쟁(17.5),튀르키예
1,2018,한국 전쟁(15.3),튀르키예
1,2019,한국 전쟁(17.0),튀르키예
1,2020,한국 전쟁(14.0),튀르키예
1,2021,한국 전쟁(14.8),튀르키예
1,2022,한국 전쟁(16.6),튀르키예
2,2017,한국 드라마(8.5),튀르키예
2,2018,한국 드라마(10.5),튀르키예
2,2019,한국 드라마(11.5),튀르키예
2,2020,한국 드라마(11.8),튀르키예
2,2021,한국 드라마(12.4),튀르키예
2,2022,한국 드라마(10.0),튀르키예
3,2017,한국 IT제품/브랜드(8.4),튀르키예
3,2018,K-POP(9.5),튀르키예
3,2019,K-POP(9.3),튀르키예
3,2020,K-POP(10.8),튀르키예
3,2021,K-POP(9.4),튀르키예
3,2022,K-POP(9.9),튀르키예
4,2017,북한/북핵위협/전쟁위험지역(8.1),튀르키예
4,2018,한국 영화(6.8),튀르키예
4,2019,한국 IT제품/브랜드(8.0),튀르키예
4,2020,한국 태권도(7.8),튀르키예
4,2021,한국 음식(7.0),튀르키예
4,2022,한국 영화(6.9),튀르키예
5,2017,K-POP(5.6),튀르키예
5,2018,한국 IT제품/브랜드(6.5),튀르키예
5,2019,한국 자동차(6.5),튀르키예
5,2020,한국 IT제품/브랜드(5.8),튀르키예
5,2021,한국 태권도(6.6),튀르키예
5,2022,한국 음식(6.1),튀르키예
