구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,30,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,62.5,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,59.5,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,48.8,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,52,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,54.1,튀르키예
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,34.7,튀르키예
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,64.8,튀르키예
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,60.8,튀르키예
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,52.8,튀르키예
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,55.4,튀르키예
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,57.4,튀르키예
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,39.1,튀르키예
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,69.8,튀르키예
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,69.5,튀르키예
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,55.5,튀르키예
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,60.2,튀르키예
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,59.4,튀르키예
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,44.9,튀르키예
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,67.3,튀르키예
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,65.8,튀르키예
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,57.3,튀르키예
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,63,튀르키예
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,64.1,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,36.1,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,55.5,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,54.5,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,45.3,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,52.4,튀르키예
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,50.4,튀르키예
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,38.2,튀르키예
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,60.8,튀르키예
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,56.5,튀르키예
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,48.5,튀르키예
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,49.8,튀르키예
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,50.2,튀르키예
