기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,37.5,9.6,1468.3,165.4,98.1,81.6,91.2
2016,39.6,8.5,1054.9,202,95.6,80.6,93
2017,38,8.8,1475.6,181.2,97.5,79.3,90
2018,46.3,11.2,1172.5,141.6,96.5,78.1,92.7
2019,37,11,1279.3,140.6,98.1,73.2,92.1
2020,75,25.7,4379.8,297.3,100,54.5,92.1
2021,63.6,22.9,4376.2,378.6,95.3,86.4,93.5
2022,34.9,14.1,3307.8,347.3,98.4,85.6,98.0
2023,34.7,12.7,3213.6,344.4,98.1,81.5,95.8
2024,30.7, 12.2 ,2988.4,306.3,97.5,77.8,97.0
