순위,기준연도,연상이미지(%),기준국가명
1,2017,K-POP(23.0),프랑스
1,2018,K-POP(16.0),프랑스
1,2019,K-POP(15.6),프랑스
1,2020,K-POP(13.4),프랑스
1,2021,K-POP(12.8),프랑스
1,2022,K-POP(14.8),프랑스
2,2017,북한/북핵위협/전쟁위험지역(14.0),프랑스
2,2018,북한(10.6),프랑스
2,2019,북한(11.2),프랑스
2,2020,한국 IT제품/브랜드(10.0),프랑스
2,2021,한류 스타(8.0),프랑스
2,2022,한국 음식(7.7),프랑스
3,2017,한국 IT제품/브랜드(10.8),프랑스
3,2018,한국 IT제품/브랜드(7.2),프랑스
3,2019,한국 IT제품/브랜드(8.6),프랑스
3,2020,한국 음식(6.8),프랑스
3,2021,한국 음식=IT제품/브랜드(7.0),프랑스
3,2022,한국 IT제품/브랜드(7.1),프랑스
4,2017,한국 음식(6.0),프랑스
4,2018,북핵위협/전쟁위험지역(6.2),프랑스
4,2019,한국 영화(5.8),프랑스
4,2020,한국 경제 성장(6.4),프랑스
4,2021,한국 영화(6.0),프랑스
4,2022,북핵위협/전쟁위험지역(6.9),프랑스
5,2017,한국 태권도(5.0),프랑스
5,2018,한국 영화(5.2),프랑스
5,2019,북핵위협/전쟁위험지역(5.6),프랑스
5,2020,한국 전쟁(6.0),프랑스
5,2021,북핵위협/전쟁위험지역(5.5),프랑스
5,2022,한류 스타(6.2),프랑스
