구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,26.3,프랑스
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,31.8,프랑스
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,30.6,프랑스
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,25.8,프랑스
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,25.8,프랑스
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,26.1,프랑스
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,26.8,프랑스
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,38.4,프랑스
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,30.8,프랑스
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,24.6,프랑스
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,22,프랑스
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,26.6,프랑스
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,32.3,프랑스
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,40.8,프랑스
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,37.2,프랑스
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,27.2,프랑스
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,28.8,프랑스
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,29,프랑스
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,36.5,프랑스
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,42.2,프랑스
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,39.4,프랑스
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,29.6,프랑스
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,28.5,프랑스
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,31.3,프랑스
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,26.5,프랑스
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,31.6,프랑스
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,27,프랑스
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,27.4,프랑스
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,26.3,프랑스
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,22.9,프랑스
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,28.5,프랑스
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,33.6,프랑스
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,28.4,프랑스
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,25.2,프랑스
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,20.3,프랑스
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,21.6,프랑스
