기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,24716.0,24.77,원/필리핀페소,45.77,달러/배럴
201502,23740.0,24.93,원/필리핀페소,55.69,달러/배럴
201503,33763.0,24.84,원/필리핀페소,54.69,달러/배럴
201504,45128.0,24.13,원/필리핀페소,57.72,달러/배럴
201505,41141.0,24.86,원/필리핀페소,63.02,달러/배럴
201506,31427.0,24.98,원/필리핀페소,60.84,달러/배럴
201507,23529.0,25.75,원/필리핀페소,55.61,달러/배럴
201508,32801.0,25.44,원/필리핀페소,47.76,달러/배럴
201509,36605.0,25.55,원/필리핀페소,45.77,달러/배럴
201510,43018.0,24.64,원/필리핀페소,45.82,달러/배럴
201511,34745.0,24.45,원/필리핀페소,41.61,달러/배럴
201512,33009.0,24.98,원/필리핀페소,34.92,달러/배럴
201601,31098.0,25.42,원/필리핀페소,26.86,달러/배럴
201602,30729.0,26.01,원/필리핀페소,28.87,달러/배럴
201603,42494.0,25.15,원/필리핀페소,35.24,달러/배럴
201604,46187.0,24.69,원/필리핀페소,38.99,달러/배럴
201605,52229.0,25.46,원/필리핀페소,44.26,달러/배럴
201606,49835.0,25.06,원/필리핀페소,46.3,달러/배럴
201607,53411.0,23.91,원/필리핀페소,42.53,달러/배럴
201608,50134.0,24.03,원/필리핀페소,43.64,달러/배럴
201609,53644.0,23.1,원/필리핀페소,43.33,달러/배럴
201610,56021.0,23.69,원/필리핀페소,48.97,달러/배럴
201611,45434.0,23.77,원/필리핀페소,43.9,달러/배럴
201612,45529.0,24.38,원/필리핀페소,52.08,달러/배럴
201701,36950.0,23.28,원/필리핀페소,53.71,달러/배럴
201702,35286.0,22.65,원/필리핀페소,54.39,달러/배럴
201703,40085.0,22.23,원/필리핀페소,51.2,달러/배럴
201704,47256.0,22.69,원/필리핀페소,52.3,달러/배럴
201705,39055.0,22.56,원/필리핀페소,50.72,달러/배럴
201706,35226.0,22.84,원/필리핀페소,46.47,달러/배럴
201707,32343.0,22.15,원/필리핀페소,47.57,달러/배럴
201708,31020.0,22.05,원/필리핀페소,50.22,달러/배럴
201709,33772.0,22.54,원/필리핀페소,53.66,달러/배럴
201710,43589.0,21.85,원/필리핀페소,55.54,달러/배럴
201711,37101.0,21.54,원/필리핀페소,60.82,달러/배럴
201712,37019.0,21.43,원/필리핀페소,61.61,달러/배럴
201801,30454.0,21.2,원/필리핀페소,66.2,달러/배럴
