순위,기준연도,연상이미지(%),기준국가명
1,2017,K-POP(27.3),호주
1,2018,K-POP(21.0),호주
1,2019,K-POP(24.0),호주
1,2020,한국 음식(15.3),호주
1,2021,K-POP(13.3),호주
1,2022,K-POP(19.1),호주
2,2017,한국 음식(12.5),호주
2,2018,한국 음식(11.8),호주
2,2019,한국 음식(16.8),호주
2,2020,K-POP(14.3),호주
2,2021,한국 음식(9.8),호주
2,2022,한국 음식(17.2),호주
3,2017,북한/북핵위협/전쟁위험지역(10.3),호주
3,2018,한국 식당(9.0),호주
3,2019,북핵위협/전쟁위험지역(6.8),호주
3,2020,한국 영화(6.5),호주
3,2021,한국 드라마(6.3),호주
3,2022,북핵위협/전쟁위험지역(6.7),호주
4,2017,한국 IT제품/브랜드(6.0),호주
4,2018,북한(7.8),호주
4,2019,북한(6.3),호주
4,2020,한국 자동차(6.0),호주
4,2021,한국 영화=한국 태권도(6.0),호주
4,2022,한류 스타(5.2),호주
5,2017,한국 드라마(4.5),호주
5,2018,북핵위협/전쟁위험지역(6.5),호주
5,2019,한국 IT제품/브랜드(5.8),호주
5,2020,한국 뷰티 제품(5.5),호주
5,2021,한류 스타(5.3),호주
5,2022,한국 뷰티 제품(4.8),호주
