구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,29.8,호주
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,31.8,호주
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,29.5,호주
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,28.8,호주
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,47,호주
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,31.2,호주
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,28.8,호주
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,32.5,호주
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,34,호주
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,30.8,호주
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,43.5,호주
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,31,호주
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,36.8,호주
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,32.8,호주
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,32.8,호주
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,29.3,호주
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,50.3,호주
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,35.3,호주
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,38.3,호주
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,35.8,호주
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,35.8,호주
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,30.8,호주
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,51.8,호주
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,40.4,호주
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,32.8,호주
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,30.5,호주
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,31.5,호주
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,30.3,호주
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,48,호주
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,36.6,호주
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,30.3,호주
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,31,호주
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,27.5,호주
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,29.8,호주
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,46.3,호주
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,32.1,호주
