기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,9997.0,881.15,원/호주달러,45.77,달러/배럴
201502,7010.0,857.27,원/호주달러,55.69,달러/배럴
201503,11005.0,855.05,원/호주달러,54.69,달러/배럴
201504,15526.0,854.05,원/호주달러,57.72,달러/배럴
201505,14409.0,875.87,원/호주달러,63.02,달러/배럴
201506,8504.0,867.13,원/호주달러,60.84,달러/배럴
201507,9017.0,865.86,원/호주달러,55.61,달러/배럴
201508,8458.0,858.23,원/호주달러,47.76,달러/배럴
201509,12273.0,843.79,원/호주달러,45.77,달러/배럴
201510,14002.0,821.88,원/호주달러,45.82,달러/배럴
201511,9759.0,827.25,원/호주달러,41.61,달러/배럴
201512,13306.0,853.1,원/호주달러,34.92,달러/배럴
201601,9980.0,855.67,원/호주달러,26.86,달러/배럴
201602,7338.0,882.57,원/호주달러,28.87,달러/배럴
201603,13319.0,884.16,원/호주달러,35.24,달러/배럴
201604,14065.0,876.68,원/호주달러,38.99,달러/배럴
201605,12895.0,870.8,원/호주달러,44.26,달러/배럴
201606,13020.0,867.7,원/호주달러,46.3,달러/배럴
201607,15117.0,846.64,원/호주달러,42.53,달러/배럴
201608,9732.0,852.97,원/호주달러,43.64,달러/배럴
201609,14784.0,837.13,원/호주달러,43.33,달러/배럴
201610,14021.0,872.18,원/호주달러,48.97,달러/배럴
201611,11927.0,881.05,원/호주달러,43.9,달러/배럴
201612,15781.0,887.16,원/호주달러,52.08,달러/배럴
201701,11984.0,875.07,원/호주달러,53.71,달러/배럴
201702,8550.0,869.11,원/호주달러,54.39,달러/배럴
201703,12801.0,853.37,원/호주달러,51.2,달러/배럴
201704,19040.0,852.55,원/호주달러,52.3,달러/배럴
201705,11518.0,838.32,원/호주달러,50.72,달러/배럴
201706,13453.0,875.55,원/호주달러,46.47,달러/배럴
201707,12236.0,893.71,원/호주달러,47.57,달러/배럴
201708,10362.0,889.15,원/호주달러,50.22,달러/배럴
201709,12979.0,914.15,원/호주달러,53.66,달러/배럴
201710,12299.0,875.92,원/호주달러,55.54,달러/배럴
201711,10190.0,825.44,원/호주달러,60.82,달러/배럴
201712,14996.0,835.16,원/호주달러,61.61,달러/배럴
201801,11688.0,866.41,원/호주달러,66.2,달러/배럴
201802,8769.0,843.41,원/호주달러,62.72,달러/배럴
201803,10693.0,827.82,원/호주달러,62.74,달러/배럴
201804,15500.0,827.6,원/호주달러,68.27,달러/배럴
201805,12472.0,818.98,원/호주달러,74.41,달러/배럴
201806,11841.0,839.93,원/호주달러,73.61,달러/배럴
201807,11491.0,827.36,원/호주달러,73.12,달러/배럴
201808,11577.0,813.75,원/호주달러,72.49,달러/배럴
201809,15310.0,801.48,원/호주달러,77.23,달러/배럴
201810,14907.0,810.74,원/호주달러,79.39,달러/배럴
201811,11711.0,820.82,원/호주달러,65.56,달러/배럴
201812,17174.0,802.8,원/호주달러,57.32,달러/배럴
201901,14285.0,809.52,원/호주달러,59.09,달러/배럴
201902,8331.0,798.78,원/호주달러,64.59,달러/배럴
201903,12263.0,806.02,원/호주달러,66.94,달러/배럴
201904,19938.0,823.94,원/호주달러,70.94,달러/배럴
201905,13558.0,825.98,원/호주달러,69.38,달러/배럴
201906,13201.0,810.34,원/호주달러,61.78,달러/배럴
201907,11840.0,825.86,원/호주달러,63.28,달러/배럴
201908,13647.0,822.93,원/호주달러,59.13,달러/배럴
201909,17269.0,817.12,원/호주달러,61.13,달러/배럴
201910,16251.0,806.2,원/호주달러,59.39,달러/배럴
201911,13346.0,805.46,원/호주달러,61.99,달러/배럴
201912,19289.0,810.34,원/호주달러,64.91,달러/배럴
202001,14039.0,813.06,원/호주달러,64.32,달러/배럴
202002,6857.0,811.49,원/호주달러,54.23,달러/배럴
202003,760.0,760.82,원/호주달러,33.71,달러/배럴
202004,124.0,795.77,원/호주달러,20.39,달러/배럴
202005,137.0,821.85,원/호주달러,30.47,달러/배럴
202006,111.0,827.28,원/호주달러,40.8,달러/배럴
202007,205.0,857.33,원/호주달러,43.3,달러/배럴
202008,156.0,872.71,원/호주달러,44.0,달러/배럴
202009,145.0,849.97,원/호주달러,41.51,달러/배럴
202010,170.0,807.21,원/호주달러,40.67,달러/배럴
202011,238.0,816.59,원/호주달러,43.42,달러/배럴
202012,230.0,836.56,원/호주달러,49.84,달러/배럴
202101,205.0,861.25,원/호주달러,54.82,달러/배럴
202102,187.0,873.09,원/호주달러,60.89,달러/배럴
202103,172.0,873.93,원/호주달러,64.44,달러/배럴
202104,169.0,860.67,원/호주달러,62.92,달러/배럴
202105,175.0,866.24,원/호주달러,66.34,달러/배럴
202106,192.0,864.56,원/호주달러,71.6,달러/배럴
202107,256.0,852.52,원/호주달러,72.93,달러/배럴
202108,281.0,850.24,원/호주달러,69.5,달러/배럴
202109,259.0,868.65,원/호주달러,72.63,달러/배럴
202110,315.0,882.64,원/호주달러,81.61,달러/배럴
202111,609.0,873.45,원/호주달러,80.3,달러/배럴
202112,683.0,858.89,원/호주달러,73.21,달러/배럴
202201,611.0,865.13,원/호주달러,83.47,달러/배럴
202202,634.0,862.94,원/호주달러,92.36,달러/배럴
202203,754.0,909.07,원/호주달러,110.93,달러/배럴
202204,2476.0,937.2,원/호주달러,102.82,달러/배럴
202205,3613.0,896.1,원/호주달러,108.16,달러/배럴
202206,4147.0,907.71,원/호주달러,113.27,달러/배럴
202207,4418.0,912.34,원/호주달러,103.14,달러/배럴
202208,4835.0,936.88,원/호주달러,96.63,달러/배럴
202209,8180.0,958.76,원/호주달러,90.95,달러/배럴
202210,9086.0,908.49,원/호주달러,91.16,달러/배럴
202211,9769.0,889.64,원/호주달러,86.26,달러/배럴
202212,16979.0,858.41,원/호주달러,77.22,달러/배럴
202301,12617.0,866.54,원/호주달러,80.42,달러/배럴
202302,7899.0,910.8,원/호주달러,82.11,달러/배럴
202303,14179.0,874.59,원/호주달러,78.51,달러/배럴
202304,21277.0,897.14,원/호주달러,83.44,달러/배럴
202305,15711.0,879.38,원/호주달러,74.96,달러/배럴
202306,17094.0,881.56,원/호주달러,74.99,달러/배럴
202307,14442.0,862.05,원/호주달러,80.45,달러/배럴
202308,12298.0,858.18,원/호주달러,86.46,달러/배럴
202309,21637.0,864.16,원/호주달러,93.25,달러/배럴
202310,20025.0,861.6,원/호주달러,89.75,달러/배럴
202311,18609.0,853.51,원/호주달러,83.55,달러/배럴
202312,22816.0,880.08,원/호주달러,77.33,달러/배럴
202401,17251.0,884.68,원/호주달러,78.85,달러/배럴
202402,10972.0,870.97,원/호주달러,80.88,달러/배럴
202403,22871.0,883.57,원/호주달러,84.18,달러/배럴
202404,26522.0,904.98,원/호주달러,89.17,달러/배럴
202405,20441.0,912.69,원/호주달러,84.04,달러/배럴
202406,19348.0,923.4,원/호주달러,82.56,달러/배럴
202407,16198.0,924.65,원/호주달러,83.83,달러/배럴
202408,14755.0,907.67,원/호주달러,77.6,달러/배럴
202409,22366.0,912.44,원/호주달러,73.52,달러/배럴
202410,26742.0,926.06,원/호주달러,74.94,달러/배럴
202411,20536.0,911.98,원/호주달러,72.61,달러/배럴
202412,26336.0,932.7,원/호주달러,73.23,달러/배럴
202501,19468.0,891.38,원/호주달러,80.41,달러/배럴
202502,12638.0,907.28,원/호주달러,77.92,달러/배럴
202503,20574.0,924.64,원/호주달러,72.49,달러/배럴
202504,36222.0,918.19,원/호주달러,67.74,달러/배럴
202505,23013.0,890.24,원/호주달러,63.73,달러/배럴
202506,19360.0,886.61,원/호주달러,69.26,달러/배럴
202507,16861.0,905.03,원/호주달러,70.87,달러/배럴
202508,14565.0,906.76,원/호주달러,69.39,달러/배럴
202509,25954.0,924.23,원/호주달러,70.01,달러/배럴
202510,27259.0,932.77,원/호주달러,65.0,달러/배럴
202511,23673.0,957.39,원/호주달러,64.47,달러/배럴
202512,27570.0,961.02,원/호주달러,62.05,달러/배럴
