기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,42.5,7.9,1177,159.7,97,88.3,91.8
2016,38.3,8.4,1149.9,174.5,97.6,80.7,93.6
2017,40.5,9.3,1409.6,173.7,95.5,84.6,91.6
2018,49.9,8.1,1048.7,141.2,97.4,86.1,94.1
2019,42.4,9.1,1128.2,150.3,97.4,88.1,93
2020,75,28.5,3148.6,204.2,100,100,93
2021,100,25,3245.8,182.5,83.3,83.3,83.3
2022,48.8,13.3,3152.6,382.7,98.8,91.0,98.1
2023,36.9,10.4,2807.6,362.2,97.9,87.7,97.2
2024,31.4, 9.7 ,2576.7,338.0,98.6,87.5,98.3
