기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,35407.0,140.7,원/홍콩달러,45.77,달러/배럴
201502,50992.0,141.74,원/홍콩달러,55.69,달러/배럴
201503,51876.0,142.49,원/홍콩달러,54.69,달러/배럴
201504,67465.0,137.82,원/홍콩달러,57.72,달러/배럴
201505,54095.0,142.92,원/홍콩달러,63.02,달러/배럴
201506,13949.0,145.0,원/홍콩달러,60.84,달러/배럴
201507,7761.0,150.45,원/홍콩달러,55.61,달러/배럴
201508,33752.0,151.79,원/홍콩달러,47.76,달러/배럴
201509,52400.0,154.13,원/홍콩달러,45.77,달러/배럴
201510,53648.0,147.39,원/홍콩달러,45.82,달러/배럴
201511,47329.0,148.42,원/홍콩달러,41.61,달러/배럴
201512,54753.0,151.21,원/홍콩달러,34.92,달러/배럴
201601,33627.0,155.3,원/홍콩달러,26.86,달러/배럴
201602,49160.0,158.91,원/홍콩달러,28.87,달러/배럴
201603,62949.0,148.77,원/홍콩달러,35.24,달러/배럴
201604,52699.0,147.48,원/홍콩달러,38.99,달러/배럴
201605,52006.0,153.35,원/홍콩달러,44.26,달러/배럴
201606,62492.0,150.11,원/홍콩달러,46.3,달러/배럴
201607,58674.0,145.14,원/홍콩달러,42.53,달러/배럴
201608,56507.0,144.21,원/홍콩달러,43.64,달러/배럴
201609,42212.0,141.36,원/홍콩달러,43.33,달러/배럴
201610,62946.0,147.68,원/홍콩달러,48.97,달러/배럴
201611,53406.0,150.65,원/홍콩달러,43.9,달러/배럴
201612,63998.0,155.84,원/홍콩달러,52.08,달러/배럴
201701,55524.0,149.28,원/홍콩달러,53.71,달러/배럴
201702,36845.0,145.89,원/홍콩달러,54.39,달러/배럴
201703,47834.0,143.72,원/홍콩달러,51.2,달러/배럴
201704,79067.0,145.38,원/홍콩달러,52.3,달러/배럴
201705,51875.0,144.33,원/홍콩달러,50.72,달러/배럴
201706,58590.0,146.13,원/홍콩달러,46.47,달러/배럴
201707,57005.0,143.31,원/홍콩달러,47.57,달러/배럴
201708,59259.0,143.56,원/홍콩달러,50.22,달러/배럴
201709,45023.0,146.79,원/홍콩달러,53.66,달러/배럴
201710,54962.0,144.24,원/홍콩달러,55.54,달러/배럴
201711,53286.0,138.68,원/홍콩달러,60.82,달러/배럴
201712,58761.0,137.15,원/홍콩달러,61.61,달러/배럴
201801,34671.0,137.03,원/홍콩달러,66.2,달러/배럴
201802,50590.0,136.93,원/홍콩달러,62.72,달러/배럴
201803,62340.0,136.02,원/홍콩달러,62.74,달러/배럴
201804,66533.0,137.14,원/홍콩달러,68.27,달러/배럴
201805,57320.0,137.79,원/홍콩달러,74.41,달러/배럴
201806,66136.0,142.94,원/홍콩달러,73.61,달러/배럴
201807,58373.0,142.3,원/홍콩달러,73.12,달러/배럴
201808,63397.0,141.26,원/홍콩달러,72.49,달러/배럴
201809,49649.0,142.37,원/홍콩달러,77.23,달러/배럴
201810,61473.0,145.54,원/홍콩달러,79.39,달러/배럴
201811,53790.0,143.42,원/홍콩달러,65.56,달러/배럴
201812,59546.0,142.98,원/홍콩달러,57.32,달러/배럴
201901,35896.0,142.49,원/홍콩달러,59.09,달러/배럴
201902,51312.0,142.43,원/홍콩달러,64.59,달러/배럴
201903,46068.0,144.96,원/홍콩달러,66.94,달러/배럴
201904,76104.0,147.66,원/홍콩달러,70.94,달러/배럴
201905,57026.0,151.64,원/홍콩달러,69.38,달러/배럴
201906,61728.0,148.0,원/홍콩달러,61.78,달러/배럴
201907,59036.0,151.31,원/홍콩달러,63.28,달러/배럴
201908,65958.0,154.97,원/홍콩달러,59.13,달러/배럴
201909,45911.0,153.3,원/홍콩달러,61.13,달러/배럴
201910,65544.0,149.03,원/홍콩달러,59.39,달러/배럴
201911,58600.0,150.67,원/홍콩달러,61.99,달러/배럴
201912,71751.0,148.66,원/홍콩달러,64.91,달러/배럴
