기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,59,5.4,1363.2,272.3,93.5,85.5,89.4
2016,55.8,6.3,1519.6,269.8,94.9,83.3,89.2
2017,63.3,5.4,1437.4,288.6,93.3,84.9,87.5
2018,72.1,5.6,1126.1,218.4,92.7,85,87.3
2019,75.6,5.6,1052.9,203.3,92.7,85.7,88.8
2020,100,,700,,100,,88.8
2021,100,16.5,7118.6,1737.3,100,100,100
2022,80.5,9.5,2447.2,312.5,98.1,93.8,97.6
2023,76.7,6,1930.9,348,95.1,91.6,94.5
2024,73.7, 5.9 ,1796.9,330.5,95.9,93.3,95.0
