날짜,지역,외국인 방문자수
202301,강원특별자치도,131525.0
202301,경기도,769541.0
202301,경상남도,266632.0
202301,경상북도,145193.0
202301,광주광역시,32188.0
202301,대구광역시,62959.0
202301,대전광역시,37073.0
202301,부산광역시,325980.0
202301,서울특별시,1181600.0
202301,세종특별자치시,9903.0
202301,울산광역시,117333.0
202301,인천광역시,607696.0
202301,전라남도,225096.0
202301,전북특별자치도,84867.0
202301,제주특별자치도,138180.0
202301,충청남도,149010.0
202301,충청북도,83605.0
202302,강원특별자치도,115731.0
202302,경기도,835648.0
202302,경상남도,299173.0
202302,경상북도,181829.0
202302,광주광역시,34525.0
202302,대구광역시,62043.0
202302,대전광역시,42482.0
202302,부산광역시,345615.0
202302,서울특별시,1296856.0
202302,세종특별자치시,12422.0
202302,울산광역시,137938.0
202302,인천광역시,623221.0
202302,전라남도,242351.0
202302,전북특별자치도,106214.0
202302,제주특별자치도,146752.0
202302,충청남도,162331.0
202302,충청북도,94841.0
202303,강원특별자치도,98048.0
202303,경기도,756122.0
202303,경상남도,258971.0
202303,경상북도,176727.0
202303,광주광역시,32521.0
202303,대구광역시,64119.0
202303,대전광역시,42757.0
202303,부산광역시,387482.0
202303,서울특별시,1434333.0
202303,세종특별자치시,12821.0
202303,울산광역시,120261.0
202303,인천광역시,643395.0
202303,전라남도,196691.0
202303,전북특별자치도,93633.0
202303,제주특별자치도,169413.0
202303,충청남도,143135.0
202303,충청북도,92177.0
202304,강원특별자치도,247608.0
202304,경기도,1651725.0
202304,경상남도,499585.0
202304,경상북도,361534.0
202304,광주광역시,92137.0
202304,대구광역시,158119.0
202304,대전광역시,89222.0
202304,부산광역시,806265.0
202304,서울특별시,3136446.0
202304,세종특별자치시,27566.0
202304,울산광역시,178569.0
202304,인천광역시,1413132.0
202304,전라남도,354446.0
202304,전북특별자치도,191901.0
202304,제주특별자치도,400863.0
202304,충청남도,297568.0
202304,충청북도,197449.0
202305,강원특별자치도,235564.0
202305,경기도,1735766.0
202305,경상남도,479465.0
202305,경상북도,365247.0
202305,광주광역시,94713.0
202305,대구광역시,169586.0
202305,대전광역시,87903.0
202305,부산광역시,774836.0
202305,서울특별시,3135586.0
202305,세종특별자치시,26522.0
202305,울산광역시,194076.0
202305,인천광역시,1443371.0
202305,전라남도,345558.0
202305,전북특별자치도,191751.0
202305,제주특별자치도,475539.0
202305,충청남도,299132.0
202305,충청북도,204806.0
202306,강원특별자치도,243846.0
202306,경기도,1703653.0
202306,경상남도,480667.0
202306,경상북도,336401.0
202306,광주광역시,63591.0
202306,대구광역시,132786.0
202306,대전광역시,76238.0
202306,부산광역시,725702.0
202306,서울특별시,3092666.0
202306,세종특별자치시,26520.0
202306,울산광역시,201549.0
202306,인천광역시,1479448.0
202306,전라남도,349573.0
202306,전북특별자치도,166688.0
202306,제주특별자치도,550453.0
202306,충청남도,283455.0
202306,충청북도,197842.0
202307,강원특별자치도,266403.0
202307,경기도,1942698.0
202307,경상남도,568050.0
202307,경상북도,343595.0
202307,광주광역시,67064.0
202307,대구광역시,157629.0
202307,대전광역시,85176.0
202307,부산광역시,730656.0
202307,서울특별시,3208067.0
202307,세종특별자치시,36393.0
202307,울산광역시,220249.0
202307,인천광역시,1548546.0
202307,전라남도,432784.0
202307,전북특별자치도,212839.0
202307,제주특별자치도,654311.0
202307,충청남도,317054.0
202307,충청북도,207965.0
202308,강원특별자치도,251695.0
202308,경기도,2079004.0
202308,경상남도,598212.0
202308,경상북도,383607.0
202308,광주광역시,68796.0
202308,대구광역시,161765.0
202308,대전광역시,106395.0
202308,부산광역시,804260.0
202308,서울특별시,3414283.0
202308,세종특별자치시,31613.0
202308,울산광역시,228914.0
202308,인천광역시,1724891.0
202308,전라남도,440342.0
202308,전북특별자치도,408861.0
202308,제주특별자치도,786252.0
202308,충청남도,414576.0
202308,충청북도,246031.0
202309,강원특별자치도,230999.0
202309,경기도,1870653.0
202309,경상남도,568259.0
202309,경상북도,374828.0
202309,광주광역시,88903.0
202309,대구광역시,166561.0
202309,대전광역시,100328.0
202309,부산광역시,861009.0
202309,서울특별시,3398620.0
202309,세종특별자치시,33792.0
202309,울산광역시,242125.0
202309,인천광역시,1730353.0
202309,전라남도,408295.0
202309,전북특별자치도,208191.0
202309,제주특별자치도,707211.0
202309,충청남도,346885.0
202309,충청북도,229018.0
202310,강원특별자치도,293984.0
202310,경기도,2056797.0
202310,경상남도,627613.0
202310,경상북도,402739.0
202310,광주광역시,95946.0
202310,대구광역시,165400.0
202310,대전광역시,108179.0
202310,부산광역시,1013180.0
202310,서울특별시,3779528.0
202310,세종특별자치시,32137.0
202310,울산광역시,262102.0
202310,인천광역시,1941428.0
202310,전라남도,537949.0
202310,전북특별자치도,237946.0
202310,제주특별자치도,732072.0
202310,충청남도,372177.0
202310,충청북도,228670.0
202311,강원특별자치도,216274.0
202311,경기도,1793458.0
202311,경상남도,576432.0
202311,경상북도,310427.0
202311,광주광역시,81172.0
202311,대구광역시,141208.0
202311,대전광역시,84013.0
202311,부산광역시,826323.0
202311,서울특별시,3427845.0
202311,세종특별자치시,29358.0
202311,울산광역시,225627.0
202311,인천광역시,1725543.0
202311,전라남도,505700.0
202311,전북특별자치도,205121.0
202311,제주특별자치도,606062.0
202311,충청남도,312851.0
202311,충청북도,191221.0
202312,강원특별자치도,306455.0
202312,경기도,1831102.0
202312,경상남도,527773.0
202312,경상북도,268951.0
202312,광주광역시,64910.0
202312,대구광역시,128303.0
202312,대전광역시,71494.0
202312,부산광역시,686731.0
202312,서울특별시,3294170.0
202312,세종특별자치시,26691.0
202312,울산광역시,241807.0
202312,인천광역시,1622928.0
202312,전라남도,646436.0
202312,전북특별자치도,179196.0
202312,제주특별자치도,692289.0
202312,충청남도,306279.0
202312,충청북도,174601.0
