year,month,avg_temp_c,avg_max_temp_c,avg_min_temp_c,precipitation_mm
2018,1,-5.2,0.8,-10.3,15.7
2018,2,1.5,6.4,-3.8,39.1
2018,3,7.4,13.7,1.5,55.2
2018,4,14.8,21.2,8.3,60.4
2018,5,19.1,25.0,13.1,93.8
2018,6,23.6,29.0,18.1,66.7
2018,7,28.2,33.8,23.3,380.5
2018,8,28.1,33.9,23.4,285.4
2018,9,22.4,27.8,17.2,138.7
2018,10,15.2,21.1,9.3,48.5
2018,11,7.8,13.5,2.2,36.9
2018,12,1.8,7.0,-3.5,26.7
2019,1,-0.9,4.8,-6.5,25.3
2019,2,4.1,9.8,-1.5,52.8
2019,3,8.2,14.3,2.1,41.5
2019,4,13.1,19.8,6.8,80.2
2019,5,18.4,24.6,12.2,105.6
2019,6,23.1,28.7,17.9,95.4
2019,7,26.4,31.8,22.1,420.3
2019,8,27.2,32.5,22.8,315.7
2019,9,21.8,27.2,16.8,152.3
2019,10,14.8,20.9,9.1,62.4
2019,11,7.1,13.2,1.4,42.8
2019,12,2.8,8.1,-2.8,31.5
2020,1,2.1,7.4,-3.2,42.3
2020,2,3.9,9.2,-1.5,55.6
2020,3,7.8,14.1,1.8,37.9
2020,4,13.5,20.2,7.1,70.8
2020,5,18.2,24.8,12.4,88.3
2020,6,21.8,27.3,16.9,137.2
2020,7,23.9,29.4,19.8,452.8
2020,8,24.1,29.6,19.9,387.4
2020,9,20.1,25.8,15.3,168.5
2020,10,13.4,19.6,7.8,58.4
2020,11,6.2,12.1,0.5,52.3
2020,12,-0.8,5.4,-7.1,18.2
2021,1,-3.1,2.4,-8.9,12.8
2021,2,0.1,5.8,-5.4,38.6
2021,3,5.8,12.2,-0.3,48.9
2021,4,12.6,19.4,6.2,68.7
2021,5,17.9,24.1,11.8,102.4
2021,6,22.8,28.4,17.5,115.8
2021,7,25.1,30.7,20.4,384.6
2021,8,26.3,31.8,21.6,298.7
2021,9,21.4,27.1,16.1,145.3
2021,10,14.2,20.4,8.4,55.8
2021,11,7.3,13.4,1.6,44.1
2021,12,1.2,6.8,-4.5,22.6
2022,1,-2.5,3.1,-8.2,18.4
2022,2,1.8,7.3,-3.7,43.2
2022,3,7.1,13.8,0.9,52.8
2022,4,13.8,20.5,7.5,72.6
2022,5,18.7,25.2,12.8,84.5
2022,6,23.4,29.1,18.2,102.3
2022,7,26.8,32.7,22.5,398.4
2022,8,27.5,33.8,22.9,346.8
2022,9,21.9,27.6,17.1,142.7
2022,10,14.9,21.2,9.2,51.3
2022,11,7.5,13.9,1.8,38.7
2022,12,0.9,6.7,-4.8,24.3
2023,1,-1.8,4.1,-7.5,20.1
2023,2,3.2,8.9,-2.3,47.8
2023,3,8.4,15.1,2.3,44.6
2023,4,14.2,21.0,8.0,74.2
2023,5,19.5,25.8,13.5,95.4
2023,6,24.1,30.2,18.9,128.6
2023,7,27.8,33.4,23.4,412.5
2023,8,29.1,35.2,24.2,278.3
2023,9,23.1,29.1,18.3,158.7
2023,10,15.8,22.1,10.1,47.2
2023,11,8.9,15.2,3.2,35.8
2023,12,2.4,8.3,-3.4,21.5
2024,1,-0.7,5.2,-6.4,28.4
2024,2,4.8,10.6,-0.8,51.3
2024,3,9.1,15.8,2.9,49.8
2024,4,15.1,22.3,9.1,68.5
2024,5,20.2,26.8,14.3,91.7
2024,6,25.3,31.4,20.2,112.4
2024,7,28.4,34.1,24.1,395.2
2024,8,29.8,36.1,25.2,302.6
2024,9,24.2,30.5,19.8,148.3
2024,10,16.8,23.2,11.1,52.8
2024,11,9.4,15.8,3.7,41.2
2024,12,3.1,9.2,-2.8,18.9
2025,1,-1.5,4.5,-7.2,22.3
2025,2,2.8,8.6,-2.9,44.7
2025,3,8.7,15.4,2.6,47.2
2025,4,14.8,21.8,8.8,71.3
2025,5,19.8,26.4,14.0,89.5
2025,6,24.8,31.2,19.8,118.7
2025,7,27.5,33.8,23.2,380.4
2025,8,28.9,35.4,24.8,290.5
2025,9,23.8,30.2,19.4,142.6
2025,10,16.2,22.8,10.8,49.3
2025,11,8.6,15.1,3.1,38.4
2025,12,2.1,8.0,-3.6,20.2
