year,month,region,avg_temp_c,avg_max_temp_c,avg_min_temp_c,precipitation_mm
2018,1,Seoul/Incheon,-2.9,2.0,-7.8,26.9
2018,2,Seoul/Incheon,-0.6,4.9,-5.5,36.3
2018,3,Seoul/Incheon,5.4,13.2,-1.1,44.0
2018,4,Seoul/Incheon,15.1,24.4,4.5,63.2
2018,5,Seoul/Incheon,19.7,28.1,11.7,79.0
2018,6,Seoul/Incheon,24.4,29.9,17.0,130.0
2018,7,Seoul/Incheon,29.8,36.0,22.7,112.1
2018,8,Seoul/Incheon,30.8,36.9,23.8,103.8
2018,9,Seoul/Incheon,23.5,27.7,18.2,136.1
2018,10,Seoul/Incheon,15.1,20.4,9.6,75.7
2018,11,Seoul/Incheon,7.2,14.1,1.0,49.2
2018,12,Seoul/Incheon,-1.9,3.8,-7.1,31.6
2018,1,Gangwon,-6.4,-1.5,-11.9,44.1
2018,2,Gangwon,-4.2,2.2,-9.7,62.8
2018,3,Gangwon,0.7,9.9,-6.9,68.2
2018,4,Gangwon,10.4,20.9,-0.3,84.6
2018,5,Gangwon,15.7,24.4,7.0,110.3
2018,6,Gangwon,19.6,24.8,14.1,172.3
2018,7,Gangwon,24.0,30.5,17.2,135.3
2018,8,Gangwon,24.5,30.9,18.0,103.6
2018,9,Gangwon,18.9,25.1,13.4,151.0
2018,10,Gangwon,11.8,16.8,7.3,96.6
2018,11,Gangwon,3.3,8.2,-1.0,78.6
2018,12,Gangwon,-5.2,-1.1,-11.1,51.0
2018,1,Busan/Ulsan/Gyeongnam,2.1,9.1,-4.0,34.6
2018,2,Busan/Ulsan/Gyeongnam,3.6,10.9,-2.1,38.4
2018,3,Busan/Ulsan/Gyeongnam,10.0,18.1,2.6,55.5
2018,4,Busan/Ulsan/Gyeongnam,17.1,28.0,6.4,74.9
2018,5,Busan/Ulsan/Gyeongnam,22.0,30.7,13.9,91.4
2018,6,Busan/Ulsan/Gyeongnam,25.5,30.6,20.3,150.5
2018,7,Busan/Ulsan/Gyeongnam,30.2,36.7,23.4,111.6
2018,8,Busan/Ulsan/Gyeongnam,31.2,39.7,23.7,106.9
2018,9,Busan/Ulsan/Gyeongnam,25.0,29.8,19.5,140.5
2018,10,Busan/Ulsan/Gyeongnam,17.2,24.1,11.7,86.2
2018,11,Busan/Ulsan/Gyeongnam,9.8,16.9,3.2,56.3
2018,12,Busan/Ulsan/Gyeongnam,4.1,10.4,-3.5,40.4
2018,1,Daegu/Gyeongbuk,-1.4,6.2,-9.4,18.7
2018,2,Daegu/Gyeongbuk,1.2,9.1,-6.9,30.5
2018,3,Daegu/Gyeongbuk,7.3,17.1,-1.9,43.4
2018,4,Daegu/Gyeongbuk,17.1,28.1,4.6,72.3
2018,5,Daegu/Gyeongbuk,21.7,31.2,13.3,81.5
2018,6,Daegu/Gyeongbuk,26.3,33.1,19.2,147.8
2018,7,Daegu/Gyeongbuk,31.4,39.8,22.7,105.5
2018,8,Daegu/Gyeongbuk,32.5,42.1,24.1,98.9
2018,9,Daegu/Gyeongbuk,24.5,31.4,17.9,153.4
2018,10,Daegu/Gyeongbuk,16.2,21.7,9.7,71.7
2018,11,Daegu/Gyeongbuk,7.4,15.2,0.1,44.8
2018,12,Daegu/Gyeongbuk,-0.3,6.5,-8.1,26.1
2018,1,Gwangju/Jeonnam,0.1,7.6,-6.9,30.6
2018,2,Gwangju/Jeonnam,1.7,10.0,-5.0,37.7
2018,3,Gwangju/Jeonnam,8.6,18.2,-0.7,57.9
2018,4,Gwangju/Jeonnam,16.1,26.7,6.2,82.1
2018,5,Gwangju/Jeonnam,21.7,30.2,14.2,105.7
2018,6,Gwangju/Jeonnam,24.8,30.2,19.9,155.7
2018,7,Gwangju/Jeonnam,27.8,32.9,22.9,135.6
2018,8,Gwangju/Jeonnam,29.2,33.4,24.2,110.3
2018,9,Gwangju/Jeonnam,23.4,29.3,19.0,141.9
2018,10,Gwangju/Jeonnam,15.8,23.2,9.8,91.0
2018,11,Gwangju/Jeonnam,8.0,15.8,1.6,61.9
2018,12,Gwangju/Jeonnam,0.9,9.1,-6.2,36.5
2018,1,Daejeon/Chungcheong,-2.2,5.0,-8.8,26.1
2018,2,Daejeon/Chungcheong,0.1,7.9,-7.1,33.9
2018,3,Daejeon/Chungcheong,7.0,16.1,-3.4,52.3
2018,4,Daejeon/Chungcheong,16.1,26.3,4.5,73.2
2018,5,Daejeon/Chungcheong,20.9,28.8,12.1,93.5
2018,6,Daejeon/Chungcheong,23.2,29.0,17.0,137.6
2018,7,Daejeon/Chungcheong,27.9,33.6,22.5,106.8
2018,8,Daejeon/Chungcheong,28.4,34.0,23.4,92.8
2018,9,Daejeon/Chungcheong,22.8,28.0,16.7,143.2
