year_month,country,country_group,actual_2024,actual_2025,pred_2026
2026-01,ETC,ETC_group,64561,67940,74555
2026-02,ETC,ETC_group,69438,77576,85129
2026-03,ETC,ETC_group,100413,110725,121505
2026-04,ETC,ETC_group,111398,138469,151950
2026-05,ETC,ETC_group,99360,113008,124011
2026-06,ETC,ETC_group,84943,100072,109815
2026-07,ETC,ETC_group,96225,108994,119606
2026-08,ETC,ETC_group,115744,132095,144956
2026-09,ETC,ETC_group,109756,127860,140309
2026-10,ETC,ETC_group,116454,135603,148805
2026-11,ETC,ETC_group,91898,108207,118742
2026-12,ETC,ETC_group,78139,88285,96880
2026-01,대만,A2_asia_surge,93589,135434,150779
2026-02,대만,A2_asia_surge,96704,120015,133613
2026-03,대만,A2_asia_surge,115578,140017,155882
2026-04,대만,A2_asia_surge,117606,151613,168792
2026-05,대만,A2_asia_surge,116956,150272,167299
2026-06,대만,A2_asia_surge,144255,164885,183567
2026-07,대만,A2_asia_surge,142721,199280,221860
2026-08,대만,A2_asia_surge,148735,191565,213270
2026-09,대만,A2_asia_surge,126130,154992,172554
2026-10,대만,A2_asia_surge,133433,161049,179297
2026-11,대만,A2_asia_surge,119505,158374,176319
2026-12,대만,A2_asia_surge,118696,163918,182491
2026-01,독일,A1_western_surge,6484,6053,6520
2026-02,독일,A1_western_surge,7210,7597,8183
2026-03,독일,A1_western_surge,18571,18334,19748
2026-04,독일,A1_western_surge,21296,27847,29995
2026-05,독일,A1_western_surge,15189,15251,16427
2026-06,독일,A1_western_surge,10066,11925,12845
2026-07,독일,A1_western_surge,10617,11340,12215
2026-08,독일,A1_western_surge,14477,16519,17793
2026-09,독일,A1_western_surge,16795,19312,20801
2026-10,독일,A1_western_surge,17690,19677,21195
2026-11,독일,A1_western_surge,10618,12934,13932
2026-12,독일,A1_western_surge,8172,9047,9745
2026-01,러시아,C_underperform,11508,11513,12550
2026-02,러시아,C_underperform,10560,11857,12925
2026-03,러시아,C_underperform,16707,19322,21062
2026-04,러시아,C_underperform,19294,26827,29243
2026-05,러시아,C_underperform,17310,21633,23582
2026-06,러시아,C_underperform,15753,19040,20755
2026-07,러시아,C_underperform,20899,20446,22288
2026-08,러시아,C_underperform,18692,21474,23408
2026-09,러시아,C_underperform,18242,19476,21230
2026-10,러시아,C_underperform,20870,23822,25968
2026-11,러시아,C_underperform,14876,17182,18730
2026-12,러시아,C_underperform,12487,11932,13007
2026-01,말레이시아,B_recovering,16913,26188,27790
2026-02,말레이시아,B_recovering,29516,25161,26700
2026-03,말레이시아,B_recovering,25294,24780,26296
2026-04,말레이시아,B_recovering,31993,30811,32696
2026-05,말레이시아,B_recovering,27380,27416,29093
2026-06,말레이시아,B_recovering,16138,19945,21165
2026-07,말레이시아,B_recovering,12275,13840,14687
2026-08,말레이시아,B_recovering,12913,15516,16465
2026-09,말레이시아,B_recovering,29347,31359,33277
2026-10,말레이시아,B_recovering,37050,34016,36097
2026-11,말레이시아,B_recovering,30623,36250,38467
2026-12,말레이시아,B_recovering,31394,43865,46548
2026-01,멕시코,A1_western_surge,1228,4226,5032
2026-02,멕시코,A1_western_surge,1319,4586,5461
2026-03,멕시코,A1_western_surge,3066,6549,7799
2026-04,멕시코,A1_western_surge,2927,9977,11881
2026-05,멕시코,A1_western_surge,2443,6554,7805
2026-06,멕시코,A1_western_surge,2549,6303,7506
2026-07,멕시코,A1_western_surge,3901,8430,10039
2026-08,멕시코,A1_western_surge,8176,7584,9031
2026-09,멕시코,A1_western_surge,8333,8869,10561
2026-10,멕시코,A1_western_surge,10446,9909,11800
2026-11,멕시코,A1_western_surge,8013,7927,9440
2026-12,멕시코,A1_western_surge,5487,4589,5465
2026-01,몽골,A2_asia_surge,12465,15487,17260
2026-02,몽골,A2_asia_surge,10036,11164,12442
2026-03,몽골,A2_asia_surge,10606,14847,16547
2026-04,몽골,A2_asia_surge,9456,12996,14484
2026-05,몽골,A2_asia_surge,10768,11659,12994
2026-06,몽골,A2_asia_surge,12578,16955,18897
2026-07,몽골,A2_asia_surge,12415,14456,16111
2026-08,몽골,A2_asia_surge,12964,15682,17478
2026-09,몽골,A2_asia_surge,14415,13727,15299
2026-10,몽골,A2_asia_surge,12472,13805,15386
2026-11,몽골,A2_asia_surge,11398,12737,14196
2026-12,몽골,A2_asia_surge,12329,13386,14919
2026-01,미국,A1_western_surge,61754,74262,80227
2026-02,미국,A1_western_surge,62607,72445,78264
2026-03,미국,A1_western_surge,119955,132117,142729
2026-04,미국,A1_western_surge,122728,153381,165701
2026-05,미국,A1_western_surge,122694,132324,142953
2026-06,미국,A1_western_surge,151721,166242,179595
2026-07,미국,A1_western_surge,120874,131832,142421
2026-08,미국,A1_western_surge,102057,111754,120730
2026-09,미국,A1_western_surge,109695,121682,131456
2026-10,미국,A1_western_surge,141152,148951,160915
2026-11,미국,A1_western_surge,108982,132651,143306
2026-12,미국,A1_western_surge,95889,105599,114081
2026-01,베트남,B_recovering,21397,24922,25926
2026-02,베트남,B_recovering,39674,51313,53379
2026-03,베트남,B_recovering,48721,52874,55003
2026-04,베트남,B_recovering,53338,52792,54918
2026-05,베트남,B_recovering,38778,41565,43239
2026-06,베트남,B_recovering,47323,45408,47237
2026-07,베트남,B_recovering,45282,47692,49613
2026-08,베트남,B_recovering,47019,51664,53745
2026-09,베트남,B_recovering,44680,46001,47853
2026-10,베트남,B_recovering,48535,50483,52516
2026-11,베트남,B_recovering,40504,44013,45785
2026-12,베트남,B_recovering,36169,34378,35762
2026-01,사우디아라비야,A1_western_surge,1102,855,824
2026-02,사우디아라비야,A1_western_surge,1223,896,863
2026-03,사우디아라비야,A1_western_surge,623,789,760
2026-04,사우디아라비야,A1_western_surge,2349,2049,1974
2026-05,사우디아라비야,A1_western_surge,1891,1920,1850
2026-06,사우디아라비야,A1_western_surge,3806,2512,2420
2026-07,사우디아라비야,A1_western_surge,3332,2598,2503
2026-08,사우디아라비야,A1_western_surge,1538,1752,1688
2026-09,사우디아라비야,A1_western_surge,1607,1678,1617
2026-10,사우디아라비야,A1_western_surge,1772,2157,2078
2026-11,사우디아라비야,A1_western_surge,2468,2566,2472
2026-12,사우디아라비야,A1_western_surge,940,1226,1181
2026-01,싱가포르,A2_asia_surge,14036,17575,18312
2026-02,싱가포르,A2_asia_surge,15282,15485,16134
2026-03,싱가포르,A2_asia_surge,38849,36370,37894
2026-04,싱가포르,A2_asia_surge,32481,37953,39544
2026-05,싱가포르,A2_asia_surge,37306,37734,39315
2026-06,싱가포르,A2_asia_surge,34134,40211,41896
2026-07,싱가포르,A2_asia_surge,14068,16008,16679
2026-08,싱가포르,A2_asia_surge,17295,15894,16560
2026-09,싱가포르,A2_asia_surge,26006,29816,31066
2026-10,싱가포르,A2_asia_surge,40841,39995,41671
2026-11,싱가포르,A2_asia_surge,43582,48541,50575
2026-12,싱가포르,A2_asia_surge,61548,64053,66738
2026-01,아랍에미리트,C_underperform,488,312,319
2026-02,아랍에미리트,C_underperform,559,372,380
2026-03,아랍에미리트,C_underperform,247,513,524
2026-04,아랍에미리트,C_underperform,968,1213,1239
2026-05,아랍에미리트,C_underperform,1013,717,732
2026-06,아랍에미리트,C_underperform,746,627,641
2026-07,아랍에미리트,C_underperform,1079,982,1003
2026-08,아랍에미리트,C_underperform,672,746,762
2026-09,아랍에미리트,C_underperform,609,598,611
2026-10,아랍에미리트,C_underperform,828,1041,1063
2026-11,아랍에미리트,C_underperform,769,923,943
2026-12,아랍에미리트,C_underperform,968,1199,1225
2026-01,영국,A1_western_surge,6750,6905,7649
2026-02,영국,A1_western_surge,6905,7398,8195
2026-03,영국,A1_western_surge,15993,15717,17410
2026-04,영국,A1_western_surge,19068,24459,27094
2026-05,영국,A1_western_surge,13562,16606,18395
2026-06,영국,A1_western_surge,11417,13937,15439
2026-07,영국,A1_western_surge,11169,13020,14423
2026-08,영국,A1_western_surge,13458,15571,17249
2026-09,영국,A1_western_surge,13383,16239,17989
2026-10,영국,A1_western_surge,16646,19206,21275
2026-11,영국,A1_western_surge,10924,13697,15173
2026-12,영국,A1_western_surge,8218,9185,10175
2026-01,인도,A2_asia_surge,9842,10783,11680
2026-02,인도,A2_asia_surge,9447,11586,12550
2026-03,인도,A2_asia_surge,16443,16082,17420
2026-04,인도,A2_asia_surge,17698,21196,22959
2026-05,인도,A2_asia_surge,18216,22256,24107
2026-06,인도,A2_asia_surge,17693,19905,21561
2026-07,인도,A2_asia_surge,14336,16605,17986
2026-08,인도,A2_asia_surge,15734,15853,17172
2026-09,인도,A2_asia_surge,17071,19353,20963
