year_month,country,country_group,actual,pred_A,pred_B,pred_C,pred_final,pred_corrected
2025-01,독일,A1_western_surge,6053.0,9255.454868360684,9321.410502930416,73896.21575473694,26746.372229403984,6053.0
2025-02,독일,A1_western_surge,7597.0,7908.649416962211,9635.118680247228,9018.566549597284,8701.10112950559,8701.10112950559
2025-03,독일,A1_western_surge,18334.0,12391.834952526384,20318.956734688905,18869.13172976816,16079.954142321929,16079.954142321929
2025-04,독일,A1_western_surge,27847.0,16112.983324440873,23183.762461077244,22627.822581589466,19884.71424397814,19884.71424397814
2025-05,독일,A1_western_surge,15251.0,14763.545295691432,16748.8718397484,16935.385873248106,16192.195874203777,16192.195874203777
2025-06,독일,A1_western_surge,11925.0,12900.583834579733,13921.088100359664,12551.94746772665,12982.855205394546,12982.855205394546
2025-07,독일,A1_western_surge,11340.0,13025.313503438045,16853.302678783977,13456.482695231643,13679.30584085078,13679.30584085078
2025-08,독일,A1_western_surge,16519.0,12841.940577570816,76409.56105222256,16628.64279727333,16781.721990705963,16781.721990705963
2025-09,독일,A1_western_surge,19312.0,16208.487285950348,41692.06608804231,18624.88032878366,18819.447827271622,18819.447827271622
2025-10,독일,A1_western_surge,19677.0,18770.386934778573,27713.580391793665,19271.163947315534,19816.390898803544,19816.390898803544
2025-11,독일,A1_western_surge,12934.0,13868.576122506956,34507.313158899604,12732.13307826123,14354.634904563842,14354.634904563842
2025-12,독일,A1_western_surge,9047.0,12137.061407303065,32396.84120975581,10568.135488053937,12294.770890887,12294.770890887
2025-01,멕시코,A1_western_surge,4226.0,4878.937473961051,2211.6192502372,20792.62833755654,9743.762960426504,4226.0
2025-02,멕시코,A1_western_surge,4586.0,4705.011554468854,2188.655466805114,1854.8208527754225,2842.193344841864,2842.193344841864
2025-03,멕시코,A1_western_surge,6549.0,5163.808669331644,3825.908630047621,3387.057685514613,4160.181618708774,4160.181618708774
2025-04,멕시코,A1_western_surge,9977.0,5768.0755123768095,3817.55879380748,3452.3511908425658,4402.548162131091,4402.548162131091
2025-05,멕시코,A1_western_surge,6554.0,7556.046878724674,2946.5827322809514,2919.8365931131348,4460.197615775086,4460.197615775086
2025-06,멕시코,A1_western_surge,6303.0,6417.359914152549,3254.376764967988,3019.884606740462,4260.3351864199785,4260.3351864199785
2025-07,멕시코,A1_western_surge,8430.0,6810.043369980131,4763.925159873654,4146.453657183002,5261.178690612637,5261.178690612637
2025-08,멕시코,A1_western_surge,7584.0,9143.232861643362,17807.722146271175,8235.324885634944,9224.049100294094,9224.049100294094
2025-09,멕시코,A1_western_surge,8869.0,8419.898505333098,11265.493655272536,8168.735638513634,8594.38583643505,8594.38583643505
2025-10,멕시코,A1_western_surge,9909.0,9448.133520568726,9413.318212587576,9430.69774623666,9584.386466234522,9584.386466234522
2025-11,멕시코,A1_western_surge,7927.0,8492.829704246105,11315.701898517487,7844.677988054562,8454.73632567115,8454.73632567115
2025-12,멕시코,A1_western_surge,4589.0,7510.879364938245,9438.857815908188,5362.37584749115,6543.675305010716,6543.675305010716
