year_month,country,country_group,actual_2024,actual_2025,pred_A,pred_B,pred_C,pred_2026
2026-01,독일,A1_western_surge,6484.0,6053.0,9206.33895423747,8274.116312771705,8099.7914509214515,8724
2026-01,멕시코,A1_western_surge,1228.0,4226.0,5752.9592792147105,4962.94435200616,4550.116790851654,5159
2026-01,미국,A1_western_surge,61754.0,74262.0,107324.89987601127,78677.18031482706,70691.42840727369,86972
2026-01,사우디아라비야,A1_western_surge,1102.0,855.0,1730.4023499732743,1355.37424529983,1014.7707502297162,1330
2026-01,영국,A1_western_surge,6750.0,6905.0,9471.753821449693,9200.263072618543,8048.695557640599,8866
2026-01,카자흐스탄,A1_western_surge,3907.0,4007.0,4253.616280111012,4214.96268342065,4291.720132380708,4341
2026-01,캐나다,A1_western_surge,13400.0,13975.0,17620.495197961798,14387.24016136304,14916.16190828346,16281
2026-01,튀르키예,A1_western_surge,2186.0,2461.0,3722.0107532813076,3009.219664404435,2904.613450314568,3302
2026-01,프랑스,A1_western_surge,6380.0,6719.0,10599.404691726066,8613.02903002766,7579.099739811002,9007
2026-01,호주,A1_western_surge,17251.0,19468.0,20323.584817391766,19480.688257785532,18470.907420918797,19649
2026-01,대만,A2_asia_surge,93589.0,135434.0,255591.52636628627,194178.03712789077,158215.62401483458,201292
2026-01,몽골,A2_asia_surge,12465.0,15487.0,15827.373387148875,17912.595664514185,17323.40234611511,16955
2026-01,싱가포르,A2_asia_surge,14036.0,17575.0,25742.10995814646,21327.811810355917,19528.45824784699,22549
2026-01,인도,A2_asia_surge,9842.0,10783.0,14026.343411741374,13733.203697834548,12131.635067073525,13251
2026-01,인도네시아,A2_asia_surge,19274.0,27516.0,29443.270004865055,29550.342746894854,31119.713061678147,30762
2026-01,필리핀,A2_asia_surge,26908.0,36740.0,43918.504263192386,40429.98782155742,38586.199885017566,41645
2026-01,말레이시아,B_recovering,16913.0,26188.0,33726.29927463053,40466.21286230489,25402.970527343863,30140
2026-01,베트남,B_recovering,21397.0,24922.0,38478.54089087061,39431.48221777743,31208.013813204783,35312
2026-01,일본,B_recovering,143152.0,174717.0,292602.1277084764,210989.35910502463,198649.230283949,240408
2026-01,중국,B_recovering,280035.0,364460.0,460285.56843583344,418295.81915451086,370755.40197027015,417641
2026-01,홍콩,B_recovering,25755.0,44278.0,53641.484868115374,54422.48048719957,44788.27457897035,49906
2026-01,러시아,C_underperform,11508.0,11513.0,13630.6651375556,13683.373518447708,11755.431114913716,12879
2026-01,아랍에미리트,C_underperform,488.0,312.0,682.619046936849,518.1039434950537,456.6149056063924,559
2026-01,태국,C_underperform,20516.0,20447.0,24003.26921509277,20438.95212139217,18422.818479301262,21185
2026-01,ETC,ETC_group,64561.0,67940.0,78957.10171277376,81332.46558451751,74613.12979743662,78169
